date,confirmed,recovered_alive,death
2020-02-18,16,9,0
2020-02-19,16,10,0
2020-02-20,16,10,0
2020-02-21,16,11,0
2020-02-22,16,11,0
2020-02-23,16,11,0
2020-02-24,16,14,0
2020-02-25,18,15,0
2020-02-26,21,15,0
2020-02-27,26,16,0
2020-02-28,55,16,0
2020-02-29,68,16,0
2020-03-01,119,16,0
2020-03-02,152,16,0
2020-03-03,190,16,0
2020-03-04,265,16,0
2020-03-05,402,16,0
2020-03-06,641,16,0
2020-03-07,797,16,0
2020-03-08,900,16,0
2020-03-09,1146,16,0
2020-03-10,1567,20,2
2020-03-11,1969,27,3
2020-03-12,2747,27,6
2020-03-13,3677,48,8
2020-03-14,4587,48,9
2020-03-15,5815,48,13
2020-03-16,7274,69,17
2020-03-17,9362,73,26
2020-03-18,12329,107,28
2020-03-19,15322,117,44
2020-03-20,19850,182,68
2020-03-21,22366,241,84
2020-03-22,24875,268,95
2020-03-23,29056,2753,123
2020-03-24,32991,5600,159
2020-03-25,37613,5900,206
2020-03-26,43211,7600,262
2020-03-27,49039,9600,322
2020-03-28,54268,11500,398
2020-03-29,58655,13500,456
2020-03-30,66125,16100,616
2020-03-31,70985,18700,702
2020-04-01,77779,21400,909
2020-04-02,84788,23800,1107
2020-04-03,91159,26400,1275
2020-04-04,95614,28700,1427
2020-04-05,100024,30600,1576
2020-04-06,103493,33300,1680
2020-04-07,107458,37287,1983
2020-04-08,111779,43656,2196
2020-04-09,115523,52407,2451
2020-04-10,120157,55980,2688
2020-04-11,124288,58190,2736
2020-04-12,127459,60260,2996
2020-04-13,128208,62925,3043
2020-04-14,131359,67065,3294
2020-04-15,133456,71995,3592
2020-04-16,136569,76881,3943
2020-04-17,139702,83114,4230
2020-04-18,143160,85400,4451
2020-04-19,145184,88000,4586
2020-04-20,146653,91500,4706
2020-04-21,148291,95200,5033
2020-04-22,150062,99400,5250
2020-04-23,151285,103300,5367
2020-04-24,154545,106800,5723
2020-04-25,156126,109800,5834
2020-04-26,157495,112000,5939
2020-04-27,158389,114500,6050
2020-04-28,159431,117400,6215
2020-04-29,161173,120400,6399
2020-04-30,162530,123500,6572
2020-05-01,163936,126900,6708
2020-05-02,164967,129000,6794
2020-05-03,165565,130600,6868
2020-05-04,165914,132700,6935
2020-05-05,166706,135278,6993
2020-05-06,167817,137696,7275
2020-05-07,169430,140004,7392
2020-05-08,170489,141936,7468
2020-05-09,171324,143370,7549
2020-05-10,171780,144575,7560
2020-05-11,172517,145617,7653
2020-05-12,173042,147298,7722
2020-05-13,174098,148700,7859
2020-05-14,174478,150300,7884
2020-05-15,175233,151597,7897
2020-05-16,175752,152600,7938
2020-05-17,176369,154011,7962
2020-05-18,176551,155041,8003
2020-05-19,177778,155681,8081
2020-05-20,178473,156966,8144
2020-05-21,178748,158087,8203
2020-05-22,179710,159064,8228
2020-05-23,179945,159716,8261
2020-05-24,180328,160281,8283
2020-05-25,180595,161199,8309
2020-05-26,181189,161967,8372
2020-05-27,181524,162820,8428
2020-05-28,182196,163360,8470
2020-05-29,182922,164245,8504
