date,confirmed,recovered_alive,death,active
2020-03-26,145,10.0,0.0,
2020-03-27,158,10.0,0.0,
2020-03-28,199,11.0,0.0,
2020-03-29,222,12.0,0.0,
2020-03-30,251,12.0,0.0,
2020-03-31,271,16.0,0.0,
2020-04-01,315,16.0,0.0,
2020-04-02,347,16.0,6.0,
2020-04-03,385,22.0,7.0,
2020-04-04,455,22.0,8.0,
2020-04-05,466,22.0,11.0,
2020-04-06,491,27.0,12.0,
2020-04-07,519,33.0,15.0,
2020-04-08,566,38.0,15.0,
2020-04-09,646,38.0,17.0,
2020-04-10,715,40.0,17.0,
2020-04-11,724,43.0,17.0,
2020-04-12,742,69.0,17.0,
2020-04-13,750,80.0,18.0,
2020-04-14,771,95.0,18.0,
2020-04-15,794,119.0,22.0,
2020-04-16,842,148.0,26.0,
2020-04-17,887,191.0,29.0,
2020-04-18,908,217.0,30.0,
2020-04-19,924,217.0,30.0,
2020-04-20,936,225.0,31.0,
2020-04-21,959,234.0,37.0,
2020-04-22,987,239.0,46.0,
2020-04-23,1015,311.0,51.0,
2020-04-24,1035,340.0,51.0,
2020-04-25,1064,346.0,51.0,
2020-04-26,1075,361.0,53.0,
2020-04-27,1096,386.0,53.0,
2020-04-28,1124,423.0,59.0,
2020-04-29,1147,461.0,59.0,
2020-04-30,1187,513.0,60.0,
2020-05-01,1199,564.0,62.0,
2020-05-02,1200,585.0,62.0,553.0
2020-05-03,1203,598.0,64.0,541.0
2020-05-04,1209,658.0,69.0,482.0
2020-05-05,1210,693.0,71.0,446.0
2020-05-06,1228,760.0,73.0,395.0
2020-05-07,1251,795.0,76.0,380.0
2020-05-08,1261,808.0,77.0,376.0
2020-05-09,1266,820.0,77.0,369.0
2020-05-10,1267,830.0,77.0,360.0
2020-05-11,1271,871.0,81.0,319.0
2020-05-12,1271,880.0,82.0,309.0
2020-05-13,1271,908.0,83.0,280.0
2020-05-14,1275,929.0,83.0,263.0
2020-05-15,1276,937.0,83.0,256.0
2020-05-16,1278,974.0,84.0,220.0
2020-05-17,1278,1007.0,84.0,187.0
2020-05-18,1278,1015.0,84.0,179.0
2020-05-19,1281,1024.0,85.0,172.0
2020-05-20,1286,1036.0,85.0,165.0
2020-05-21,1286,1040.0,85.0,161.0
2020-05-22,1291,1046.0,85.0,160.0
2020-05-23,1292,1051.0,85.0,156.0
2020-05-24,1294,1055.0,85.0,154.0
2020-05-25,1296,1063.0,86.0,147.0
2020-05-26,1298,1071.0,86.0,141.0
2020-05-27,1304,1075.0,87.0,142.0
2020-05-28,1307,1076.0,87.0,144.0
2020-05-29,1309,1079.0,87.0,143.0
